H,B,q,R_int,gamma,Su,sf_lower,sf_upper
6,10,0,1,18,25,1.336,1.393
6,16,20,0.8,14,25,1.337,1.375
6,16,20,1,14,25,1.338,1.377
6,10,0,0.8,18,25,1.338,1.393
6,4,20,1,16,25,1.344,1.406
6,4,20,0.8,16,25,1.344,1.406
6,4,20,0.6,16,25,1.344,1.406
6,12,10,1,16,25,1.346,1.402
6,12,10,0.8,16,25,1.346,1.402
6,12,10,0.6,16,25,1.346,1.402
6,14,20,1,14,25,1.357,1.406
6,14,20,0.8,14,25,1.357,1.406
6,14,20,0.6,14,25,1.357,1.405
